key_press,rt,time_elapsed,trial_type,pid
32.0,775,65994,text,0
32.0,1233,111605,text,0
32.0,616,141483,text,0
32.0,776,165467,text,0
32.0,729,259451,text,0
32.0,1430,62056,text,1
32.0,869,105320,text,1
32.0,927,138816,text,1
32.0,791,202880,text,1
32.0,1351,253607,text,1
32.0,906,67626,text,2
32.0,860,115689,text,2
32.0,854,156461,text,2
32.0,1221,258127,text,2
32.0,824,305703,text,2
32.0,772,69380,text,3
32.0,590,120484,text,3
32.0,646,161723,text,3
32.0,688,216726,text,3
32.0,528,262627,text,3
