action_times,actions,block,path,queries,rewards,rt,score,simulation_mode,state_rewards,time_elapsed,trial_index,trial_time,trial_id,trial_type,pid
"[19252, 20386, 21650]","[u'right', u'right', u'up']",train_basic,"[u'0', u'5', u'6', u'7']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[-48, 8, 2]","[19250, 620, 749]",-38.0,"[None, None, None]","[u'', 24, 8, -4, -4, -48, 8, 2, 2, -24, 8, -2, 4]",24219,0.0,24097.0,6.82029765092e+18,mouselab-mdp,0
"[3509, 4581, 5477]","[u'up', u'up', u'right']",train_basic,"[u'0', u'1', u'2', u'3']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[48, 4, -4]","[3508, 549, 376]",48.0,"[None, None, None]","[u'', 48, 4, -4, 2, -24, 4, 4, -2, 48, 4, -4, 4]",32779,1.0,7477.0,-7.72949551535e+18,mouselab-mdp,0
"[2250, 4169, 4793]","[u'up', u'up', u'left']",train_basic,"[u'0', u'1', u'2', u'4']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[-48, -4, 2]","[2248, 1408, 114]",-50.0,"[None, None, None]","[u'', -48, -4, -2, 2, -48, -8, -4, -4, 24, -4, -2, 2]",43626,2.0,9753.0,5.87648543738e+18,mouselab-mdp,0
"[11229, 11979, 12939]","[u'left', u'left', u'up']",train_basic,"[u'0', u'9', u'10', u'11']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[48, -4, 4]","[11227, 212, 439]",48.0,"[None, None, None]","[u'', -24, 8, -2, 2, 24, -8, -4, -2, 48, -4, 4, -4]",59321,3.0,14571.0,-3.20007329874e+18,mouselab-mdp,0
"[1151, 1904, 2639]","[u'right', u'right', u'up']",train_basic,"[u'0', u'5', u'6', u'7']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[48, 8, 4]","[1150, 228, 217]",60.0,"[None, None, None]","[u'', -24, 8, 4, 2, 48, 8, 4, 4, -48, 4, 2, 2]",64217,4.0,3807.0,1.17043306924e+18,mouselab-mdp,0
"[22101, 22964, 23843]","[u'right', u'right', u'down']",train_basic2,"[u'0', u'5', u'6', u'8']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[-48, 4, 4]","[22100, 342, 351]",-40.0,"[None, None, None]","[u'', -48, -4, 4, -2, -48, 4, -4, 4, -24, -8, 2, 4]",92649,5.0,25555.0,2.63443329641e+18,mouselab-mdp,0
"[1336, 1880, 2472]","[u'up', u'up', u'right']",train_basic2,"[u'0', u'1', u'2', u'3']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[-48, 8, 2]","[1334, 29, 71]",-38.0,"[None, None, None]","[u'', -48, 8, 2, 2, -24, -8, -4, -2, -48, -8, 2, 2]",97065,6.0,3352.0,5.82719462411e+18,mouselab-mdp,0
"[524, 1181, 1868]","[u'right', u'right', u'down']",train_basic2,"[u'0', u'5', u'6', u'8']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[48, 8, 2]","[523, 142, 179]",58.0,"[None, None, None]","[u'', -24, 4, 2, 2, 48, 8, -4, 2, -24, 8, -4, -2]",100872,7.0,2731.0,-4.80438429618e+18,mouselab-mdp,0
"[1265, 1888, 2577]","[u'right', u'right', u'up']",train_basic2,"[u'0', u'5', u'6', u'7']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[-24, -8, 4]","[1263, 101, 172]",-28.0,"[None, None, None]","[u'', -48, -4, 4, -4, -24, -8, 4, 4, -48, -4, -4, 4]",105545,8.0,3568.0,1.07286752953e+18,mouselab-mdp,0
"[383, 958, 1742]","[u'up', u'up', u'right']",train_basic2,"[u'0', u'1', u'2', u'3']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[48, 8, -2]","[382, 21, 263]",54.0,"[None, None, None]","[u'', 48, 8, -2, 2, 48, -4, -2, 2, -48, 4, -2, 4]",109370,9.0,2735.0,-5.53441172203e+18,mouselab-mdp,0
"[9688, 10376, 11127]","[u'up', u'up', u'right']",train_hidden,"[u'0', u'1', u'2', u'3']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[24, 8, -4]","[9687, 168, 235]",28.0,"[None, None, None]","[u'', 24, 8, -4, -4, 48, 4, -4, 4, 48, 8, 2, -4]",124890,10.0,12215.0,-3.85987325249e+18,mouselab-mdp,0
"[336, 934, 1703]","[u'up', u'up', u'right']",train_hidden,"[u'0', u'1', u'2', u'3']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[-48, -4, 2]","[334, 77, 241]",-50.0,"[None, None, None]","[u'', -48, -4, 2, -2, -48, 4, 2, 2, 48, 4, 4, -4]",128586,11.0,2630.0,4.78066487755e+18,mouselab-mdp,0
