action_times,actions,block,button_pressed,correct,key_press,path,queries,questions,responses,rewards,rt,score,simulation_mode,stimulus,time_elapsed,trial_index,trial_id,trial_type,pid
"[2185, 2860, 3458]","[u'right', u'right', u'up']",train_basic,,,,"[u'0', u'5', u'6', u'7']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[5, -5, 10]","[2176, 95, 47]",10.0,"[None, None, None]",,72185,6.0,9.182422570892963e+18,mouselab-mdp,1
"[2712, 4044, 4748]","[u'left', u'left', u'down']",train_basic,,,,"[u'0', u'9', u'10', u'12']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[10, 5, 10]","[2697, 746, 146]",25.0,"[None, None, None]",,80029,7.0,8.845312654804484e+18,mouselab-mdp,1
"[1033, 1716, 2316]","[u'right', u'right', u'up']",train_basic,,,,"[u'0', u'5', u'6', u'7']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[10, -5, 5]","[1024, 53, 10]",10.0,"[None, None, None]",,84533,8.0,-7.325569627557755e+18,mouselab-mdp,1
"[3837, 4509, 5237]","[u'up', u'up', u'right']",train_basic,,,,"[u'0', u'1', u'2', u'3']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[5, -10, 10]","[3829, 130, 178]",5.0,"[None, None, None]",,92289,9.0,8.892810546696874e+17,mouselab-mdp,1
"[7276, 7844, 9413]","[u'up', u'up', u'left']",train_hidden,,,,"[u'0', u'1', u'2', u'4']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[-10, -10, 5]","[7267, 10, 1002]",-15.0,"[None, None, None]",,106383,10.0,5.015924348765825e+18,mouselab-mdp,1
"[592, 1255, 2001]","[u'right', u'right', u'up']",train_hidden,,,,"[u'0', u'5', u'6', u'7']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[10, -10, 10]","[584, 125, 173]",10.0,"[None, None, None]",,110684,11.0,4.49272063618337e+18,mouselab-mdp,1
"[526, 1229, 1894]","[u'right', u'right', u'down']",train_hidden,,,,"[u'0', u'5', u'6', u'8']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[-5, 5, -10]","[517, 114, 106]",-10.0,"[None, None, None]",,114775,12.0,1.0328961532146797e+17,mouselab-mdp,1
"[572, 1290, 2095]","[u'left', u'left', u'down']",train_hidden,,,,"[u'0', u'9', u'10', u'12']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[10, -5, -5]","[564, 163, 260]",0.0,"[None, None, None]",,119274,13.0,-8.685761292807083e+18,mouselab-mdp,1
"[624, 1279, 2800]","[u'up', u'up', u'left']",train_hidden,,,,"[u'0', u'1', u'2', u'4']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[10, -10, -10]","[616, 60, 973]",-10.0,"[None, None, None]",,124318,14.0,7.211868466475451e+18,mouselab-mdp,1
"[21175, 21735, 23121]","[u'up', u'up', u'left']",train_inspector,,,,"[u'0', u'1', u'2', u'4']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'5', u'7', u'3', u'4', u'11', u'9', u'12', u'1', u'2'], u'time': [8570, 9671, 10972, 11811, 14215, 16322, 18142, 19316, 20286]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[10, -10, 10]","[21167, 4, 817]",10.0,"[None, None, None]",,152755,15.0,7.434111409514572e+18,mouselab-mdp,1
"[10213, 11316, 11998]","[u'up', u'up', u'left']",train_inspector,,,,"[u'0', u'1', u'2', u'4']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'1', u'4', u'11', u'12', u'9', u'8', u'5', u'7'], u'time': [1610, 3265, 4192, 4955, 5727, 6947, 7813, 8563]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[5, 5, 10]","[10203, 541, 140]",20.0,"[None, None, None]",,166887,16.0,-8.208271881207171e+18,mouselab-mdp,1
"[13651, 14346, 15122]","[u'right', u'right', u'up']",train_inspector,,,,"[u'0', u'5', u'6', u'7']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'3', u'4', u'11', u'12', u'9', u'8', u'7', u'5', u'6', u'10'], u'time': [1634, 2486, 3520, 4289, 5643, 7149, 8952, 10163, 10978, 12021]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[10, 5, 5]","[13642, 94, 207]",20.0,"[None, None, None]",,184245,17.0,-7.299700932651748e+18,mouselab-mdp,1
"[11920, 12514, 13105]","[u'up', u'up', u'left']",train_inspector,,,,"[u'0', u'1', u'2', u'4']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'11', u'12', u'4', u'1', u'2', u'3', u'6', u'8', u'7', u'5'], u'time': [2318, 3185, 3937, 4994, 5782, 6395, 8186, 8729, 9679, 10579]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[-10, 10, 10]","[11911, 49, 34]",10.0,"[None, None, None]",,199515,18.0,4.339880646647608e+18,mouselab-mdp,1
"[8095, 8692, 9367]","[u'left', u'left', u'up']",train_inspector,,,,"[u'0', u'9', u'10', u'11']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'4', u'3', u'7', u'8', u'12', u'11', u'9', u'10'], u'time': [1030, 1836, 2574, 3324, 4034, 5387, 6309, 6918]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[5, -10, 10]","[8083, 18, 72]",5.0,"[None, None, None]",,210933,19.0,-3.334411552997521e+18,mouselab-mdp,1
"[9782, 10503, 11159]","[u'up', u'up', u'left']",train_inspect_cost,,,,"[u'0', u'1', u'2', u'4']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[-10, -5, 5]","[9769, 167, 114]",-10.0,"[None, None, None]",,226829,20.0,9.041022091974375e+18,mouselab-mdp,1
"[584, 1458, 2279]","[u'right', u'right', u'down']",train_inspect_cost,,,,"[u'0', u'5', u'6', u'8']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[10, -10, 5]","[575, 188, 272]",5.0,"[None, None, None]",,231358,21.0,-3.8790525829275725e+17,mouselab-mdp,1
"[573, 1318, 2226]","[u'left', u'left', u'down']",train_inspect_cost,,,,"[u'0', u'9', u'10', u'12']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[5, 10, 5]","[566, 150, 320]",20.0,"[None, None, None]",,235932,22.0,4.842692465290208e+18,mouselab-mdp,1
"[2260, 3001, 4165]","[u'left', u'left', u'up']",train_inspect_cost,,,,"[u'0', u'9', u'10', u'11']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[-10, 10, 10]","[2253, 186, 594]",10.0,"[None, None, None]",,242498,23.0,-6.72824086845133e+18,mouselab-mdp,1
"[427, 1188, 2014]","[u'left', u'left', u'down']",train_inspect_cost,,,,"[u'0', u'9', u'10', u'12']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[-10, 5, -5]","[420, 201, 255]",-10.0,"[None, None, None]",,246884,24.0,-5.630369455004455e+18,mouselab-mdp,1
"[9716, 10611, 11187]","[u'up', u'up', u'left']",train_final,,,,"[u'0', u'1', u'2', u'4']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[-5, -10, 10]","[9710, 347, 19]",-5.0,"[None, None, None]",,262433,25.0,-7.125102216625555e+18,mouselab-mdp,1
"[804, 1472, 2175]","[u'right', u'right', u'down']",train_final,,,,"[u'0', u'5', u'6', u'8']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[-10, -10, 5]","[794, 123, 159]",-15.0,"[None, None, None]",,267087,26.0,7.91556335598923e+18,mouselab-mdp,1
"[365, 1118, 1923]","[u'left', u'left', u'down']",train_final,,,,"[u'0', u'9', u'10', u'12']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[-5, 5, 5]","[359, 156, 199]",5.0,"[None, None, None]",,271223,27.0,-6.552867048006103e+18,mouselab-mdp,1
"[491, 1240, 2111]","[u'up', u'up', u'left']",train_final,,,,"[u'0', u'1', u'2', u'4']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[10, 10, 10]","[483, 195, 306]",30.0,"[None, None, None]",,275633,28.0,7.502188167921001e+17,mouselab-mdp,1
"[481, 1203, 1869]","[u'up', u'up', u'right']",train_final,,,,"[u'0', u'1', u'2', u'3']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[10, 10, 10]","[472, 170, 98]",30.0,"[None, None, None]",,279661,29.0,6.300325444535346e+18,mouselab-mdp,1
"[1725, 2548, 3221]","[u'left', u'left', u'down']",test,,,,"[u'0', u'9', u'10', u'12']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[-10, 5, 10]","[1716, 259, 86]",5.0,"[None, None, None]",,309079,30.0,-3.5260456632436096e+17,mouselab-mdp,1
"[646, 1326, 2245]","[u'up', u'up', u'left']",test,,,,"[u'0', u'1', u'2', u'4']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[5, 10, -10]","[638, 128, 377]",5.0,"[None, None, None]",,313679,31.0,6.142163930824438e+17,mouselab-mdp,1
"[683, 1433, 2170]","[u'up', u'up', u'right']",test,,,,"[u'0', u'1', u'2', u'3']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[-5, -5, -10]","[675, 184, 182]",-20.0,"[None, None, None]",,318267,32.0,3.079720304695456e+18,mouselab-mdp,1
"[886, 1716, 2772]","[u'right', u'right', u'down']",test,,,,"[u'0', u'5', u'6', u'8']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[10, -5, -10]","[877, 260, 461]",-5.0,"[None, None, None]",,323394,33.0,4.79729195570316e+18,mouselab-mdp,1
"[879, 1556, 2618]","[u'left', u'left', u'up']",test,,,,"[u'0', u'9', u'10', u'11']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[-10, -5, 5]","[871, 131, 455]",-10.0,"[None, None, None]",,328330,34.0,3.812331254939213e+18,mouselab-mdp,1
"[1527, 2299, 3213]","[u'left', u'left', u'down']",test,,,,"[u'0', u'9', u'10', u'12']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[-10, 10, -10]","[1519, 162, 330]",-10.0,"[None, None, None]",,333789,35.0,-8.485306912601427e+16,mouselab-mdp,1
"[359, 1056, 1786]","[u'up', u'up', u'left']",test,,,,"[u'0', u'1', u'2', u'4']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[-10, 5, -10]","[350, 152, 129]",-15.0,"[None, None, None]",,338073,36.0,-4.063481521815622e+18,mouselab-mdp,1
"[484, 1237, 2135]","[u'up', u'up', u'right']",test,,,,"[u'0', u'1', u'2', u'3']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[10, 10, 5]","[467, 157, 364]",25.0,"[None, None, None]",,342685,37.0,2.0031782822548767e+18,mouselab-mdp,1
"[569, 1453, 2330]","[u'up', u'up', u'left']",test,,,,"[u'0', u'1', u'2', u'4']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[-5, 5, -5]","[542, 285, 314]",-5.0,"[None, None, None]",,347834,38.0,5.439632916575948e+18,mouselab-mdp,1
"[1347, 2101, 3021]","[u'right', u'right', u'up']",test,,,,"[u'0', u'5', u'6', u'7']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[5, -10, 10]","[1339, 210, 354]",5.0,"[None, None, None]",,353275,39.0,7.553211965372142e+18,mouselab-mdp,1
"[517, 1327, 2083]","[u'right', u'right', u'down']",test,,,,"[u'0', u'5', u'6', u'8']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[-10, 10, -10]","[507, 263, 180]",-10.0,"[None, None, None]",,357667,40.0,5.724401768725425e+18,mouselab-mdp,1
